id,customer_account_id,aggregation_provider_id,institution_transaction_id,date,type,description,amount,running_balance,pending,exclude,plaid_transaction_id,amount_currency_type_id,running_balance_currency_type_id,plaid_category_id,category_1,category_2,category_3,plaid_currency_code,authorized_date,street_address,city,region,postal_code,country,latitude,longitude,store_number,reference_number,ppd_id,payee,payment_channel,removed
2939771,3942,-1,,2020-06-30,17,CHECK,6019.89,,False,True,mNkynave07Cmy994X6MqHLx5NpzL6QFMojZbK,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,True
2940369,3942,-1,,2020-07-01,17,PEOPLES GAS AUTOPAY,57.70,,False,False,7XxwbN6Ak4C0pnna9Z8wCgoVqA0wrdcQ38pAp,1,1,18068004,Service,Utilities,Gas,USD,,,,,,,,,,,,,other,False
2940370,3942,-1,,2020-07-01,17,TOPTAL.COM TOPTAL.COM,2824.64,,False,False,9XxLmKD0veCVgLLxEQ7pIVMp6keXyNfdX6wRD,1,1,18000000,Service,,,USD,,,,,,,,,,,,,online,False
2942879,3942,-1,,2020-07-01,17,CHECK,999.00,,False,True,DpxXNn0bB6t1Lpp5j89ZueRyxr0wOXsZmqV8d,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,True
2943180,3942,-1,,2020-07-01,17,CASH SWEEP REDEMPTION,-4154.34,,False,False,rbr0Vxae8dtXr00b7qY4i7y96MOKk3IB4d3Yk,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
2943181,3942,-1,,2020-07-01,17,CHECK PAID 4438,273.00,,False,False,4Xn5Qjxy3eCk8ww5BjpOSpzYxObeq5Ik5MmeB,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
2943182,3942,-1,,2020-07-01,17,CHECK PAID 4439,999.00,,False,False,aOdqj16pL0TKMpp1yN0XT6O0pDjaZbFZkwnRE,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
2942878,3942,-1,,2020-07-01,17,CHECK,273.00,,False,True,LNqka0MVjyCAKNNyb68Du5BjAbZpELT0VPmpD,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,True
2943176,3942,-1,,2020-07-02,17,COMED UTIL_BIL,57.83,,False,False,Jp15xbMVvBt93nn1QKmkcpgO3yoxrYIbZBM6r,1,1,18068000,Service,Utilities,,USD,,,,,,,,,,,,,other,False
2943177,3942,-1,,2020-07-02,17,COMED UTIL_BIL,72.50,,False,False,xbrNvJDe7Ptv1wwe4ArLh546D8rkVoUM0kaY0,1,1,18068000,Service,Utilities,,USD,,,,,,,,,,,,,other,False
